id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
4790,8.2,0.52,0.49,2.0,0.066,7.0,31.0,0.9976,3.16,0.63,10.4,6.0
4791,8.6,0.36,0.49,2.3,0.073,7.0,24.0,0.9967,3.23,0.69,12.5,7.0
4792,7.4,0.69,0.01,2.0,0.084,9.0,20.0,0.9991,3.45,0.59,9.5,6.0
4793,7.0,0.6,0.17,1.9,0.079,7.0,12.0,0.9988,3.26,0.63,9.7,6.0
4794,6.4,0.58,0.01,1.9,0.076,5.0,14.0,0.9962,3.35,0.58,11.2,6.0
4795,10.4,0.43,0.34,2.3,0.081,6.0,13.0,0.99593,3.2,0.57,10.5,5.0
4796,6.1,0.7,0.0,2.6,0.077,15.0,34.0,0.99519,3.38,0.61,11.3,6.0
4797,8.3,0.5,0.0,2.2,0.061,32.0,74.0,0.99668,3.36,0.62,9.5,6.0
4798,8.5,0.35,0.37,2.3,0.06,29.0,37.0,0.9982,3.31,0.64,9.7,5.0
4799,7.0,0.58,0.02,1.9,0.079,25.0,52.0,0.99531,3.47,0.7,10.2,5.0
4800,7.0,0.63,0.02,2.4,0.077,25.0,110.0,0.9962,3.56,0.61,9.6,5.0
4801,8.8,0.32,0.39,2.2,0.078,16.0,72.0,0.9972,3.24,0.62,10.3,5.0
4802,7.5,0.58,0.03,2.0,0.0819999999999999,24.0,125.0,0.99745,3.38,0.54,9.4,5.0
4803,7.1,0.45,0.28,1.7,0.078,16.0,40.0,0.99524,3.4,0.52,10.3,5.0
4804,7.0,0.41,0.33,3.3,0.077,10.0,27.0,0.9963,3.33,1.17,11.9,7.0
4805,8.4,0.38,0.36,2.3,0.074,34.0,64.0,0.99615,3.21,0.69,9.9,5.0
4806,6.1,0.41,0.18,2.3,0.091,3.0,10.0,0.99572,3.32,0.53,10.9,5.0
4807,7.3,0.56,0.28,1.9,0.081,9.0,28.0,0.9968,3.31,0.54,9.9,6.0
4808,7.4,0.6,0.12,2.0,0.0819999999999999,12.0,47.0,0.9986,3.39,0.51,9.6,5.0
4809,8.9,0.36,0.44,2.6,0.085,23.0,114.0,0.9968,3.16,0.54,9.5,5.0
4810,7.0,0.49,0.12,2.3,0.071,13.0,58.0,0.9988,3.37,0.83,9.5,5.0
4811,7.0,0.78,0.0,2.2,0.0819999999999999,15.0,31.0,0.9966,3.48,0.61,9.5,6.0
4812,7.8,0.68,0.07,2.2,0.0819999999999999,12.0,20.0,0.9968,3.23,0.57,9.6,5.0
4813,7.0,0.33,0.24,2.5,0.086,13.0,26.0,0.9976,3.57,0.6,9.4,6.0
4814,7.1,0.6,0.13,2.0,0.078,4.0,11.0,0.9972,3.3,0.59,9.5,5.0
4815,7.3,0.6,0.24,2.9,0.087,26.0,65.0,0.99652,3.44,0.69,9.9,6.0
4816,8.8,0.44,0.44,2.6,0.086,15.0,37.0,0.9976,3.26,0.69,11.8,7.0
4817,8.6,0.58,0.03,2.2,0.078,6.0,16.0,0.99538,3.35,1.09,10.0,5.0
4818,9.9,0.6,0.18,2.3,0.078,9.0,19.0,0.9958,3.23,0.67,11.8,5.0
4819,12.3,0.43,0.59,2.1,0.074,6.0,16.0,0.9988,3.07,0.61,9.4,6.0
4820,10.3,0.32,0.44,2.3,0.095,14.0,38.0,0.9976,3.34,0.68,9.5,5.0
4821,12.8,0.34,0.49,4.8,0.091,16.0,58.0,1.0004,3.24,0.64,9.9,6.0
4822,7.7,0.43,0.24,2.3,0.079,5.0,17.0,0.9982,3.21,0.53,9.6,5.0
4823,7.1,0.59,0.0,1.4,0.071,12.0,24.0,0.99586,3.42,0.58,9.7,5.0
4824,6.6,0.67,0.02,2.1,0.0819999999999999,6.0,17.0,0.99392,3.52,0.56,10.6,6.0
4825,9.5,0.34,0.39,2.3,0.0819999999999999,17.0,94.0,0.9984,3.3,0.56,9.3,5.0
4826,9.3,0.51,0.09,2.2,0.085,10.0,43.0,0.9967,3.33,0.55,9.2,5.0
4827,11.4,0.45,0.49,2.2,0.08,15.0,59.0,0.9996,3.28,0.61,11.4,6.0
4828,7.2,0.52,0.0,4.0,0.068,13.0,35.0,0.9994,3.51,0.61,12.1,7.0
4829,7.9,0.43,0.26,2.1,0.068,8.0,17.0,0.99642,3.34,0.56,9.1,6.0
4830,7.9,0.43,0.23,1.7,0.074,19.0,49.0,0.9974,3.47,0.63,9.9,6.0
4831,7.2,0.6,0.03,1.6,0.062,11.0,20.0,0.99774,3.34,0.74,9.8,6.0
4832,9.0,0.39,0.35,2.2,0.084,17.0,42.0,0.9974,3.18,0.55,9.4,6.0
4833,7.0,0.36,0.51,2.0,0.078,13.0,86.0,0.99668,3.36,0.93,9.2,5.0
4834,7.2,0.69,0.0,2.5,0.073,12.0,31.0,0.9972,3.34,0.58,11.6,7.0
4835,9.8,0.78,0.12,2.4,0.092,7.0,28.0,0.9968,3.27,0.55,9.4,5.0
4836,10.2,0.34,0.46,2.5,0.079,18.0,31.0,0.995,3.17,0.73,11.8,6.0
4837,9.9,0.6,0.29,2.6,0.0819999999999999,6.0,22.0,0.9976,3.15,0.62,9.5,5.0
4838,7.9,0.69,0.14,2.6,0.095,11.0,23.0,0.99448,3.2,0.62,10.8,6.0
4839,9.0,0.53,0.29,2.1,0.083,17.0,48.0,0.9974,3.2,0.76,11.5,6.0
4840,7.1,0.59,0.12,2.1,0.0969999999999999,14.0,25.0,0.9967,3.28,0.73,10.9,7.0
4841,8.0,0.39,0.31,2.1,0.077,27.0,54.0,0.9978,3.27,0.69,9.2,5.0
4842,7.3,0.32,0.29,2.1,0.077,23.0,81.0,0.999,3.29,0.71,9.5,5.0
4843,9.5,0.34,0.49,2.3,0.069,24.0,52.0,0.9962,3.18,0.81,9.9,5.0
4844,10.1,0.27,0.31,2.6,0.093,17.0,45.0,0.9962,3.33,0.69,9.3,5.0
4845,7.0,0.705,0.0,1.8,0.074,14.0,31.0,0.9966,3.51,0.93,10.4,6.0
4846,7.3,0.46,0.04,1.7,0.062,6.0,12.0,0.9962,3.34,0.47,11.1,6.0
4847,7.7,0.56,0.03,2.6,0.08,12.0,31.0,0.9956,3.47,0.54,9.4,6.0
4848,9.4,0.32,0.49,1.8,0.062,6.0,18.0,1.0014,3.34,0.77,10.9,5.0
4849,10.0,0.645,0.26,2.0,0.0819999999999999,6.0,38.0,0.9952,3.3,0.63,9.3,6.0
4850,6.3,0.46,0.3,1.6,0.071,15.0,27.0,0.99633,3.38,0.56,10.8,5.0
4851,6.6,0.66,0.0,2.0,0.066,6.0,17.0,0.9962,3.44,0.58,9.5,6.0
4852,7.4,0.63,0.0,1.8,0.08,17.0,77.0,0.9982,3.28,0.5,9.7,5.0
4853,7.9,0.39,0.49,2.0,0.093,15.0,34.0,0.99803,3.26,0.59,11.8,7.0
4854,8.4,0.61,0.14,1.5,0.065,32.0,54.0,0.9988,3.46,0.61,9.8,5.0
4855,10.8,0.43,0.44,2.8,0.064,28.0,48.0,1.0026,3.19,0.53,9.7,5.0
4856,9.9,0.34,0.52,1.7,0.055,3.0,14.0,0.99592,3.1,1.32,9.3,5.0
4857,7.8,0.43,0.0,1.7,0.067,21.0,38.0,0.9983,3.44,0.6,9.4,6.0
4858,8.8,0.39,0.42,1.8,0.075,5.0,19.0,0.9976,3.26,0.64,10.4,5.0
4859,6.4,0.47,0.13,2.0,0.0969999999999999,32.0,48.0,0.99668,3.47,0.52,9.9,5.0
4860,7.1,0.64,0.0,2.2,0.08,9.0,24.0,0.9968,3.44,0.62,12.4,7.0
4861,9.1,0.46,0.46,2.7,0.073,6.0,29.0,0.9978,3.35,0.74,9.5,5.0
4862,8.3,0.725,0.23,2.5,0.072,3.0,12.0,0.99498,3.22,0.56,11.2,7.0
4863,7.0,0.28,0.45,2.1,0.072,11.0,64.0,0.9964,3.37,0.57,9.3,5.0
4864,5.8,0.56,0.23,1.9,0.066,24.0,52.0,0.99508,3.37,0.49,9.5,6.0
4865,8.5,0.37,0.49,2.5,0.085,34.0,141.0,0.9983,3.26,0.62,9.4,5.0
4866,7.2,0.31,0.32,1.9,0.066,9.0,24.0,0.99572,3.31,0.76,9.8,6.0
4867,6.5,0.59,0.01,2.3,0.077,14.0,49.0,0.99702,3.59,0.6,10.1,6.0
4868,6.4,0.31,0.29,2.2,0.094,5.0,19.0,0.99656,3.42,0.81,9.7,5.0
4869,11.9,0.43,0.39,2.9,0.074,22.0,43.0,0.9968,3.24,0.7,9.6,5.0
4870,8.3,0.53,0.26,1.8,0.073,6.0,14.0,0.995,3.16,0.62,9.8,5.0
4871,7.5,0.58,0.03,2.1,0.087,6.0,15.0,0.99584,3.42,0.57,11.8,6.0
4872,7.0,0.57,0.19,2.0,0.079,14.0,31.0,0.9968,3.48,0.52,9.6,6.0
4873,9.2,0.57,0.04,2.3,0.063,3.0,9.0,0.9988,3.43,0.58,10.9,6.0
4874,8.7,0.36,0.39,2.5,0.078,9.0,28.0,0.99652,3.32,0.72,9.7,5.0
4875,9.0,0.35,0.42,2.5,0.074,19.0,72.0,0.9949,3.21,0.71,9.8,5.0
4876,7.8,0.66,0.22,1.5,0.07,11.0,23.0,0.99472,3.17,0.48,10.0,5.0
4877,9.1,0.53,0.26,1.4,0.0969999999999999,5.0,14.0,0.9994,3.3,0.59,11.0,6.0
4878,9.4,0.43,0.49,2.6,0.077,13.0,25.0,0.9982,3.15,0.44,9.3,5.0
4879,12.5,0.19,0.49,2.6,0.087,6.0,15.0,0.9976,3.32,0.64,9.3,6.0
4880,8.2,0.48,0.28,1.8,0.071,5.0,10.0,0.9979,3.31,0.54,10.0,5.0
4881,8.7,0.3,0.42,1.8,0.05,4.0,11.0,0.99656,3.41,0.59,11.0,5.0
4882,7.0,0.49,0.21,1.6,0.093,13.0,24.0,0.99652,3.37,0.55,9.5,7.0
4883,5.6,0.47,0.0,1.7,0.079,9.0,28.0,0.9972,3.16,0.6,9.5,6.0
4884,6.3,0.46,0.36,2.0,0.0559999999999999,13.0,31.0,0.99538,3.26,0.54,10.0,6.0
4885,7.8,0.36,0.25,2.0,0.0819999999999999,28.0,77.0,0.99656,3.14,0.43,9.2,5.0
4886,10.4,0.43,0.3,2.3,0.054,14.0,41.0,0.9958,3.22,0.56,10.4,7.0
4887,8.9,0.43,0.3,2.3,0.079,12.0,35.0,0.9976,3.38,0.6,11.5,8.0
4888,9.0,0.36,0.47,2.1,0.078,6.0,19.0,0.9976,3.14,0.89,10.5,5.0
4889,7.5,0.62,0.15,2.0,0.071,15.0,37.0,0.9976,3.34,0.54,10.4,6.0
4890,10.6,0.48,0.49,2.1,0.077,15.0,28.0,0.9994,3.4,0.6,9.6,5.0
4891,8.6,0.3,0.32,1.7,0.077,4.0,11.0,0.99636,3.26,0.56,9.5,6.0
4892,7.2,0.55,0.06,1.8,0.073,16.0,62.0,0.9948,3.58,0.82,9.2,4.0
4893,7.5,0.56,0.14,2.6,0.0969999999999999,21.0,110.0,0.9974,3.22,0.56,9.0,5.0
4894,8.9,0.36,0.44,2.2,0.0819999999999999,5.0,10.0,0.9973,3.15,0.5,9.6,6.0
4895,12.6,0.48,0.66,2.8,0.094,10.0,42.0,0.9986,3.19,0.71,9.5,5.0
4896,6.6,0.34,0.24,2.3,0.0579999999999999,7.0,27.0,0.99586,3.41,0.77,12.8,7.0
4897,8.9,0.43,0.27,2.8,0.08,16.0,64.0,0.9972,3.31,0.61,9.3,5.0
4898,8.7,0.52,0.21,2.1,0.078,4.0,9.0,0.9958,3.25,0.6,9.5,5.0
4899,9.1,0.5,0.14,1.7,0.08,27.0,44.0,0.9962,3.26,0.54,9.4,5.0
4900,8.3,0.6,0.24,2.0,0.086,31.0,131.0,0.9976,3.18,0.59,9.6,6.0
4901,9.1,0.28,0.43,2.3,0.092,6.0,14.0,0.9976,3.26,0.73,10.4,5.0
4902,7.8,0.42,0.27,2.1,0.0819999999999999,6.0,14.0,0.9973,3.44,0.55,9.3,5.0
4903,7.7,0.4,0.24,1.8,0.077,10.0,33.0,0.9963,3.39,0.59,9.5,6.0
4904,6.4,0.6,0.03,1.6,0.071,27.0,59.0,0.9968,3.51,0.6,9.5,5.0
4905,10.0,0.29,0.41,2.3,0.084,16.0,68.0,0.9982,3.22,0.73,11.2,6.0
4906,7.0,0.62,0.13,2.2,0.095,19.0,37.0,0.99534,3.36,0.52,9.6,6.0
4907,10.5,0.43,0.44,2.1,0.0969999999999999,5.0,14.0,0.9976,3.26,0.61,12.7,7.0
4908,10.8,0.61,0.25,2.1,0.077,18.0,38.0,0.9994,3.32,0.58,11.9,5.0
4909,9.8,0.43,0.34,2.4,0.078,5.0,13.0,0.9972,3.34,0.9,11.0,7.0
4910,7.1,0.36,0.49,1.6,0.073,10.0,23.0,0.99502,3.43,0.72,11.0,7.0
4911,7.2,0.715,0.12,2.2,0.092,10.0,19.0,0.9973,3.52,0.65,9.8,5.0
4912,9.2,0.5,0.39,3.0,0.0969999999999999,4.0,8.0,0.9962,3.28,0.57,9.7,5.0
4913,9.4,0.43,0.34,2.6,0.061,7.0,14.0,0.9963,3.14,0.64,9.3,5.0
4914,8.6,0.52,0.0,2.0,0.103,11.0,19.0,0.9968,3.4,0.58,9.0,5.0
4915,7.1,0.44,0.26,1.7,0.078,14.0,86.0,0.99685,3.15,0.61,9.8,5.0
4916,9.1,0.69,0.09,2.3,0.073,19.0,58.0,0.9962,3.27,0.62,10.5,6.0
4917,8.3,0.46,0.15,2.0,0.0819999999999999,15.0,32.0,0.99562,3.31,0.52,9.2,5.0
4918,7.0,0.59,0.23,1.7,0.074,20.0,49.0,0.9972,3.39,0.55,9.8,6.0
4919,10.0,0.41,0.49,1.9,0.081,12.0,46.0,1.0002,3.27,0.71,10.9,5.0
4920,7.2,0.63,0.11,3.1,0.077,12.0,23.0,0.99708,3.32,0.54,10.8,6.0
4921,8.3,0.43,0.34,1.8,0.062,10.0,23.0,0.99668,3.27,0.68,10.4,6.0
4922,6.4,0.735,0.01,1.7,0.099,15.0,29.0,0.9967,3.36,0.63,9.4,5.0
4923,7.5,0.715,0.26,2.3,0.085,26.0,47.0,0.9978,3.46,0.79,10.1,6.0
4924,7.0,0.5,0.0,2.4,0.084,24.0,144.0,0.9955,3.34,0.54,9.4,6.0
4925,7.1,0.725,0.04,2.1,0.063,15.0,26.0,0.99668,3.36,0.62,9.5,5.0
4926,8.6,0.59,0.31,2.1,0.0819999999999999,47.0,77.0,0.99704,3.19,0.54,9.7,6.0
4927,7.8,0.61,0.01,1.9,0.062,5.0,13.0,0.9955,3.44,0.56,10.4,6.0
4928,10.3,0.36,0.48,2.5,0.076,27.0,70.0,0.9962,3.3,0.78,9.2,6.0
4929,7.8,0.68,0.01,2.1,0.078,14.0,44.0,0.996,3.31,0.59,10.8,5.0
4930,7.4,0.66,0.09,2.6,0.068,23.0,54.0,0.99448,3.42,0.54,9.9,6.0
4931,11.5,0.48,0.56,2.3,0.077,6.0,14.0,0.9982,3.22,0.62,11.0,7.0
4932,6.2,0.57,0.0,1.7,0.071,25.0,50.0,0.9964,3.49,0.73,10.4,6.0
4933,7.0,0.57,0.02,1.9,0.099,23.0,41.0,0.996,3.54,0.52,9.3,6.0
4934,8.9,0.49,0.29,2.1,0.081,7.0,29.0,0.99656,2.98,0.51,9.8,5.0
4935,8.6,0.34,0.44,2.0,0.086,16.0,35.0,0.9986,3.28,0.66,9.6,5.0
4936,8.0,0.49,0.24,1.9,0.086,19.0,88.0,0.9976,3.28,0.6,9.2,5.0
4937,6.6,0.88,0.01,2.4,0.089,15.0,24.0,0.99458,3.34,0.78,10.5,7.0
4938,7.7,0.41,0.29,2.3,0.084,16.0,44.0,0.9973,3.2,0.53,9.7,5.0
4939,6.6,0.56,0.06,2.3,0.095,15.0,39.0,0.9973,3.47,0.52,9.8,6.0
4940,10.2,0.28,0.44,4.65,0.053,5.0,19.0,0.9962,3.09,0.82,11.5,6.0
4941,7.5,0.65,0.03,2.2,0.071,11.0,49.0,0.9988,3.32,0.53,9.5,6.0
4942,6.2,0.6,0.0,1.7,0.0969999999999999,4.0,8.0,0.99786,3.36,0.58,9.3,5.0
4943,8.8,0.36,0.34,2.1,0.081,18.0,77.0,0.9974,3.32,0.64,9.5,5.0
4944,7.2,0.51,0.09,2.0,0.09,20.0,125.0,0.99572,3.35,0.54,9.5,6.0
4945,6.8,0.59,0.0,1.6,0.078,17.0,58.0,0.99762,3.43,0.76,11.0,6.0
4946,7.2,0.38,0.33,1.5,0.076,7.0,23.0,0.99494,3.22,0.55,11.2,6.0
4947,9.1,0.31,0.37,2.1,0.074,9.0,22.0,0.9978,3.28,0.6,9.2,5.0
4948,5.6,0.58,0.1,1.8,0.077,3.0,9.0,0.9987,3.36,0.76,10.0,5.0
4949,10.0,0.54,0.34,2.2,0.044,12.0,20.0,0.9964,3.08,0.44,10.0,6.0
4950,7.1,0.41,0.32,2.3,0.074,16.0,85.0,0.9966,3.37,0.47,9.0,5.0
4951,7.0,0.47,0.32,2.1,0.0819999999999999,32.0,134.0,0.99525,3.26,0.66,9.4,5.0
4952,7.6,0.31,0.45,1.6,0.049,6.0,16.0,0.9969,3.26,0.78,9.8,6.0
4953,7.0,0.56,0.0,2.0,0.092,21.0,54.0,0.9981,3.42,0.56,9.7,6.0
4954,7.3,0.64,0.23,2.8,0.073,7.0,44.0,0.9966,3.12,0.64,9.8,5.0
4955,7.7,0.58,0.02,1.9,0.083,17.0,47.0,0.9974,3.54,0.49,9.8,5.0
4956,8.9,0.28,0.49,1.9,0.0819999999999999,6.0,17.0,0.99396,3.24,0.59,9.6,6.0
4957,9.1,0.35,0.32,2.1,0.07,12.0,65.0,0.9964,3.17,0.53,9.2,6.0
4958,8.8,0.52,0.11,1.8,0.076,18.0,88.0,0.99572,3.37,1.61,9.8,5.0
4959,10.6,0.38,0.42,2.1,0.074,12.0,65.0,0.99444,3.16,0.72,11.8,6.0
4960,7.6,0.44,0.37,2.1,0.07,25.0,60.0,0.99716,3.23,0.52,11.1,7.0
4961,7.0,0.46,0.06,2.1,0.078,6.0,15.0,0.9961,3.37,0.61,9.9,6.0
4962,9.4,0.43,0.49,2.6,0.075,12.0,37.0,0.9988,3.14,0.55,10.3,5.0
4963,7.2,0.55,0.04,2.0,0.074,18.0,27.0,0.9959,3.44,0.6,10.0,6.0
4964,7.9,0.685,0.1,2.4,0.0579999999999999,3.0,8.0,0.99693,3.16,0.39,9.3,5.0
4965,9.3,0.46,0.55,1.8,0.093,5.0,20.0,0.9994,3.2,0.63,9.5,6.0
4966,7.6,0.43,0.0,2.1,0.077,4.0,7.0,0.9969,3.31,0.79,10.5,6.0
4967,7.0,0.55,0.08,1.9,0.063,7.0,37.0,0.9968,3.39,0.53,9.8,5.0
4968,11.8,0.55,0.49,1.8,0.067,23.0,47.0,0.99693,3.29,0.64,10.8,7.0
4969,7.2,0.32,0.4,2.1,0.074,8.0,19.0,0.99552,3.36,0.49,10.5,6.0
4970,7.2,0.69,0.2,2.0,0.078,7.0,28.0,0.9968,3.36,0.65,10.5,6.0
4971,8.4,0.5,0.3,2.8,0.083,26.0,48.0,0.9948,3.3,0.55,10.2,5.0
4972,6.8,0.715,0.01,1.7,0.075,15.0,31.0,0.9948,3.2,0.54,10.8,6.0
4973,9.0,0.56,0.49,1.9,0.092,7.0,18.0,0.9972,3.36,1.17,9.7,6.0
4974,6.8,0.58,0.02,1.7,0.078,25.0,52.0,0.9976,3.39,0.57,9.5,6.0
4975,7.1,0.38,0.49,1.7,0.091,7.0,21.0,0.99586,3.29,0.65,10.5,5.0
4976,8.9,0.36,0.25,2.0,0.076,18.0,66.0,0.9963,3.27,0.82,9.5,6.0
4977,6.0,0.6,0.08,1.8,0.068,6.0,19.0,0.9988,3.31,0.54,10.2,6.0
4978,6.9,0.63,0.22,2.5,0.092,4.0,12.0,0.99552,3.42,0.52,10.0,5.0
4979,9.5,0.52,0.45,2.1,0.084,6.0,13.0,0.9974,3.26,0.57,10.9,5.0
4980,7.6,0.42,0.21,1.9,0.087,5.0,16.0,0.9956,3.36,0.68,12.2,7.0
4981,8.4,0.64,0.0,1.8,0.087,6.0,28.0,0.9987,3.28,0.66,9.4,5.0
4982,9.6,0.68,0.03,2.2,0.0819999999999999,8.0,17.0,0.9956,3.47,0.59,9.8,6.0
4983,10.4,0.29,0.49,3.2,0.085,6.0,20.0,1.0004,3.22,0.59,10.3,5.0
4984,7.0,0.49,0.2,1.9,0.085,19.0,34.0,0.9964,3.36,0.49,9.7,6.0
4985,8.8,0.59,0.24,2.8,0.098,3.0,14.0,0.9978,3.15,0.66,10.6,6.0
4986,8.6,0.35,0.24,1.3,0.077,10.0,28.0,0.9988,3.34,0.68,9.9,5.0
4987,6.7,0.52,0.28,2.2,0.079,10.0,19.0,0.99685,3.32,0.82,10.8,6.0
4988,8.1,0.51,0.31,1.8,0.084,14.0,28.0,0.9984,3.38,0.71,9.4,6.0
4989,7.0,0.715,0.01,1.4,0.07,36.0,51.0,0.99655,3.33,0.48,9.5,6.0
4990,6.6,0.685,0.0,1.8,0.074,7.0,31.0,0.9976,3.52,0.58,9.1,6.0
4991,9.6,0.44,0.49,2.3,0.072,5.0,15.0,0.9997,3.27,0.72,9.7,5.0
4992,9.5,0.32,0.52,1.9,0.08,6.0,28.0,0.9984,3.09,0.56,9.4,4.0
4993,6.4,0.38,0.42,2.1,0.0819999999999999,6.0,14.0,0.9976,3.28,0.78,11.9,6.0
4994,7.1,0.51,0.09,2.2,0.095,7.0,22.0,0.9968,3.4,0.49,9.5,5.0
4995,6.6,0.74,0.0,1.8,0.079,21.0,58.0,0.9948,3.35,0.88,10.8,6.0
4996,7.5,0.3,0.3,2.1,0.076,4.0,17.0,0.99672,3.2,0.58,11.9,7.0
4997,10.6,0.24,0.46,2.0,0.079,11.0,58.0,0.9965,3.22,0.75,11.3,7.0
4998,10.3,0.31,0.66,2.1,0.076,10.0,21.0,0.99828,3.15,0.58,10.2,7.0
4999,8.9,0.58,0.2,2.1,0.079,19.0,63.0,0.99717,3.31,0.49,9.8,5.0
5000,11.3,0.69,0.0,2.4,0.078,16.0,27.0,0.9964,3.41,0.61,9.5,5.0
5001,7.5,0.44,0.24,2.1,0.065,10.0,29.0,0.9961,3.23,0.85,11.5,8.0
5002,7.6,0.67,0.18,1.9,0.0819999999999999,11.0,25.0,0.99562,3.28,0.58,9.6,5.0
5003,7.1,0.57,0.02,2.1,0.069,8.0,19.0,0.996,3.21,0.52,12.1,7.0
5004,6.2,0.735,0.0,2.0,0.067,9.0,22.0,0.99572,3.39,0.62,9.4,5.0
5005,9.9,0.34,0.45,2.1,0.064,10.0,21.0,0.9972,3.41,0.73,9.5,5.0
5006,7.5,0.35,0.32,2.1,0.079,16.0,60.0,0.99636,3.27,0.62,9.9,5.0
5007,8.1,0.47,0.49,2.4,0.066,13.0,31.0,0.9976,3.21,0.7,11.5,5.0
5008,6.8,0.44,0.0,1.7,0.075,21.0,63.0,0.99576,3.54,0.57,10.0,5.0
5009,9.6,0.39,0.45,2.1,0.073,16.0,71.0,0.9955,3.2,0.68,9.8,5.0
5010,10.4,0.32,0.44,1.8,0.066,9.0,22.0,0.99774,3.28,1.36,11.1,7.0
5011,6.8,0.56,0.04,2.5,0.074,7.0,21.0,0.9986,3.39,0.52,10.6,7.0
5012,7.1,0.65,0.1,2.3,0.079,8.0,19.0,0.99568,3.34,0.51,9.5,5.0
5013,7.9,0.43,0.28,2.6,0.091,14.0,28.0,0.99462,3.28,0.64,10.1,6.0
5014,6.2,0.28,0.41,3.3,0.073,27.0,43.0,0.99642,3.39,0.52,10.0,5.0
5015,8.0,0.65,0.15,2.0,0.076,9.0,20.0,0.9959,3.33,0.56,9.2,6.0
5016,9.9,0.57,0.3,1.8,0.05,5.0,10.0,0.997,3.38,1.22,9.8,5.0
5017,9.9,0.6,0.07,2.0,0.07,21.0,52.0,0.9978,3.44,0.54,9.5,5.0
5018,7.6,0.61,0.0,2.4,0.069,3.0,11.0,0.9994,3.16,0.84,9.6,5.0
5019,7.8,0.32,0.31,1.8,0.086,18.0,119.0,0.9961,3.17,0.53,9.5,5.0
5020,7.9,0.55,0.12,2.4,0.086,25.0,52.0,0.9962,3.56,0.53,9.4,6.0
5021,8.7,0.5,0.14,1.9,0.077,8.0,23.0,0.9959,3.17,0.66,11.4,7.0
5022,7.0,0.51,0.27,2.1,0.088,6.0,12.0,0.99746,3.39,0.93,9.4,5.0
5023,7.0,0.58,0.13,1.7,0.078,5.0,20.0,0.9982,3.43,0.52,9.5,6.0
5024,6.8,0.58,0.01,1.6,0.077,18.0,27.0,0.9958,3.52,0.6,11.3,6.0
5025,8.3,0.48,0.32,2.1,0.095,6.0,13.0,0.99498,3.17,0.54,9.3,6.0
5026,10.5,0.29,0.41,2.3,0.093,5.0,23.0,0.9986,3.23,0.61,11.2,7.0
5027,6.6,0.545,0.0,2.0,0.064,17.0,45.0,0.997,3.47,0.59,9.5,5.0
5028,5.6,0.46,0.01,2.9,0.0819999999999999,21.0,119.0,0.99652,3.32,0.54,10.0,5.0
5029,10.2,0.37,0.49,2.0,0.078,41.0,38.0,1.0004,3.15,0.77,10.5,6.0
5030,7.8,0.61,0.06,1.6,0.079,6.0,30.0,0.9958,3.39,0.6,9.1,5.0
5031,6.2,0.63,0.0,1.6,0.078,5.0,24.0,0.99656,3.43,0.77,11.066666666666698,6.0
5032,9.4,0.51,0.45,2.2,0.076,6.0,34.0,0.9986,3.23,0.73,10.9,6.0
5033,7.5,0.56,0.0,2.0,0.0969999999999999,14.0,47.0,0.9976,3.1,0.71,10.3,6.0
5034,6.5,0.735,0.0,1.7,0.064,8.0,19.0,0.9958,3.47,0.65,10.1,4.0
5035,6.8,0.41,0.05,2.3,0.08,19.0,48.0,0.9982,3.43,0.48,9.3,5.0
5036,7.3,0.5,0.01,1.4,0.0969999999999999,11.0,44.0,0.9974,3.45,0.49,9.5,5.0
5037,6.8,0.78,0.0,1.8,0.066,10.0,17.0,0.99557,3.17,0.56,9.5,5.0
5038,9.0,0.4,0.36,2.3,0.079,8.0,18.0,0.99448,3.34,0.56,9.5,5.0
5039,7.4,0.5,0.3,2.6,0.071,12.0,31.0,0.99588,3.21,0.52,11.8,5.0
5040,8.7,0.27,0.52,2.8,0.115,27.0,42.0,0.99672,3.17,0.67,11.0,8.0
5041,7.2,0.62,0.0,1.4,0.084,10.0,35.0,0.99522,3.35,0.57,9.4,6.0
5042,6.6,0.52,0.06,2.7,0.071,6.0,15.0,0.99448,3.27,0.7,12.6,7.0
5043,7.7,0.41,0.45,2.6,0.07,10.0,22.0,0.9978,3.43,0.51,9.5,6.0
5044,6.8,0.6,0.05,2.1,0.07,29.0,48.0,0.99498,3.33,0.57,11.1,6.0
5045,7.2,0.58,0.07,2.4,0.07,18.0,66.0,0.99524,3.23,0.45,10.5,5.0
5046,8.0,0.52,0.33,2.4,0.064,6.0,17.0,0.99712,3.24,0.77,10.7,6.0
5047,7.5,0.59,0.01,2.3,0.084,6.0,28.0,0.9982,3.36,0.68,11.2,5.0
5048,7.6,0.6,0.0,2.6,0.1169999999999999,5.0,18.0,0.9988,3.36,0.52,11.8,6.0
5049,7.2,0.33,0.49,2.1,0.085,9.0,24.0,0.99546,3.38,0.64,9.5,5.0
5050,7.9,0.63,0.0,1.4,0.052,9.0,22.0,0.9974,3.48,0.54,11.0,6.0
5051,6.1,0.51,0.0,2.1,0.065,31.0,131.0,0.99586,3.66,0.6,9.8,5.0
5052,8.9,0.4,0.27,1.9,0.079,3.0,9.0,0.9988,3.27,0.68,9.5,6.0
5053,8.8,0.43,0.49,2.0,0.062,13.0,28.0,0.9974,3.25,0.62,9.8,5.0
